"Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity"
1981,"NW England",7,0,0,0
1982,"NW England",7,0,0,0
1983,"NW England",7,0,0,0
1984,"NW England",7,0,0,0
1985,"NW England",7,0,0,0
1986,"NW England",7,0,0,0
1987,"NW England",7,0,0,0
1988,"NW England",7,0,0,0
1989,"NW England",7,0,0,0
1990,"NW England",7,0,0,0
1991,"NW England",7,0,0,0
1992,"NW England",7,0,0,0
1993,"NW England",7,0,0,0
1994,"NW England",7,0,0,0
1995,"NW England",7,0,0,0
1996,"NW England",7,0,0,0
1997,"NW England",7,0,0,0
1998,"NW England",7,0,0,0
1999,"NW England",7,0,0,0
2000,"NW England",7,0,0,0
2001,"NW England",7,0.510416666666667,3.51020408163265,31.8270278570603
2002,"NW England",7,0,0,0
2003,"NW England",7,0,0,0
2004,"NW England",7,0,0,0
2005,"NW England",7,0,0,0
2006,"NW England",7,0,0,0
2007,"NW England",7,0,0,0
2008,"NW England",7,0,0,0
2009,"NW England",7,0,0,0
2010,"NW England",7,0,0,0
2011,"NW England",7,0,0,0
2012,"NW England",7,0,0,0
2013,"NW England",7,0,0,0
2014,"NW England",7,0,0,0
2015,"NW England",7,0,0,0
2016,"NW England",7,0,0,0
2017,"NW England",7,0,0,0
2018,"NW England",7,0,0,0
2019,"NW England",7,0,0,0
2020,"NW England",7,0,0,0
2021,"NW England",7,0,0,0
2022,"NW England",7,0,0,0
2023,"NW England",7,0,0,0
2024,"NW England",7,0,0,0
2025,"NW England",7,0,0,0
2026,"NW England",7,0,0,0
2027,"NW England",7,0.708333333333333,4.33823529411765,31.3331026620892
2028,"NW England",7,0,0,0
2029,"NW England",7,0,0,0
2030,"NW England",7,0,0,0
2031,"NW England",7,0,0,0
2032,"NW England",7,0,0,0
2033,"NW England",7,0.145833333333333,3,30.875478880746
2034,"NW England",7,0,0,0
2035,"NW England",7,0,0,0
2036,"NW England",7,0,0,0
2037,"NW England",7,0,0,0
2038,"NW England",7,0,0,0
2039,"NW England",7,0,0,0
2040,"NW England",7,0,0,0
2041,"NW England",7,0,0,0
2042,"NW England",7,0,0,0
2043,"NW England",7,0,0,0
2044,"NW England",7,0,0,0
2045,"NW England",7,0,0,0
2046,"NW England",7,0,0,0
2047,"NW England",7,0,0,0
2048,"NW England",7,0,0,0
2049,"NW England",7,0,0,0
2050,"NW England",7,0,0,0
2051,"NW England",7,0,0,0
2052,"NW England",7,0,0,0
2053,"NW England",7,0,0,0
2054,"NW England",7,0,0,0
2055,"NW England",7,0,0,0
2056,"NW England",7,0,0,0
2057,"NW England",7,0,0,0
2058,"NW England",7,0,0,0
2059,"NW England",7,0,0,0
2060,"NW England",7,0,0,0
2061,"NW England",7,0,0,0
2062,"NW England",7,0,0,0
2063,"NW England",7,0,0,0
2064,"NW England",7,0,0,0
2065,"NW England",7,0,0,0
2066,"NW England",7,0,0,0
2067,"NW England",7,0.447916666666667,3,31.824014338412
2068,"NW England",7,0,0,0
2069,"NW England",7,0,0,0
2070,"NW England",7,0,0,0
2071,"NW England",7,0,0,0
2072,"NW England",7,0,0,0
2073,"NW England",7,0,0,0
2074,"NW England",7,0,0,0
2075,"NW England",7,0,0,0
2076,"NW England",7,0,0,0
2077,"NW England",7,0,0,0
2078,"NW England",7,0,0,0
2079,"NW England",7,0,0,0
2080,"NW England",7,0,0,0
1980,"SE England",8,0,0,0
1981,"SE England",8,0,0,0
1982,"SE England",8,0,0,0
1983,"SE England",8,0,0,0
1984,"SE England",8,0,0,0
1985,"SE England",8,0,0,0
1986,"SE England",8,0,0,0
1987,"SE England",8,0,0,0
1988,"SE England",8,0,0,0
1989,"SE England",8,0,0,0
1990,"SE England",8,0,0,0
1991,"SE England",8,0,0,0
1992,"SE England",8,0,0,0
1993,"SE England",8,0,0,0
1994,"SE England",8,0,0,0
1995,"SE England",8,0,0,0
1996,"SE England",8,0,0,0
1997,"SE England",8,0,0,0
1998,"SE England",8,0,0,0
1999,"SE England",8,0,0,0
2000,"SE England",8,0,0,0
2001,"SE England",8,0.534883720930233,4.6231884057971,33.1629347289818
2002,"SE England",8,0,0,0
2003,"SE England",8,0,0,0
2004,"SE England",8,0,0,0
2005,"SE England",8,0,0,0
2006,"SE England",8,0,0,0
2007,"SE England",8,0,0,0
2008,"SE England",8,0,0,0
2009,"SE England",8,0,0,0
2010,"SE England",8,0,0,0
2011,"SE England",8,0,0,0
2012,"SE England",8,0,0,0
2013,"SE England",8,0,0,0
2014,"SE England",8,0,0,0
2015,"SE England",8,0,0,0
