Year,Month,Date,UK,E_Midlands,E_of_England,E_Scotland,London,NE_England,N_Scotland,NW_England,SE_England,SW_England,W_Midlands,W_Scotland,Yorks_&_Humber,Channel_Islands,Isle_of_Man,N_Ireland,Wales
1993,7,1993.541667,13.67049502,15.00224176,15.78106472,12.10567638,16.70143012,13.29694201,10.98659781,13.7371904,15.70807909,15.1172093,14.93959523,12.20789663,14.29487454,0,13.58536262,13.20671982,13.78573229
1993,8,1993.625,13.12950995,14.1531585,15.21429143,11.55506356,16.06500707,12.48072682,10.90469407,13.00963774,15.18954614,14.64347912,13.98649701,11.88097913,13.4049094,0,13.24175795,12.71059484,13.10847116
1993,9,1993.708333,11.2099781,12.09455615,12.92172866,9.525071386,13.24955513,10.29769288,9.444766285,11.24786348,12.53129039,12.41603179,11.78391806,10.42506398,11.45117009,0,11.76223992,11.23705572,11.37318355
1993,10,1993.791667,7.236647539,8.063913473,9.207479676,5.621501489,9.795145665,6.527551538,5.734045558,6.964313041,9.001877602,8.3149484,7.570983579,6.216435222,7.409705239,0,7.819711042,6.922433597,7.159342485
1993,11,1993.875,4.078817889,4.312319703,4.923463391,2.306305961,5.407427063,2.879361372,3.376932894,3.617807344,4.818349086,5.439824111,4.136228074,3.463213588,3.677845953,0,5.774896508,5.070439882,4.412034748
1993,12,1993.958333,3.841322681,4.69978335,5.405643691,1.233392683,6.36979097,2.743198835,1.153425934,3.844328292,5.763036512,6.09811086,4.942334849,2.567974573,3.878542154,0,4.840589447,4.027063109,5.054100852
1994,1,1994.041667,3.963277003,4.537390527,5.015855457,2.018665099,5.966624986,2.908424955,2.091966746,3.984150139,5.418303649,5.740601557,4.850024755,3.067527402,3.758938934,0,4.991566521,4.153943577,4.751246755
1994,2,1994.125,2.370191671,2.485403883,3.09033198,0.670715662,4.133557276,1.086518002,1.287928128,2.122172348,3.653207217,4.257028672,2.736822216,1.56267301,1.770110862,0,3.226491685,2.905604706,2.81713835
1994,3,1994.208333,5.961875046,7.293480771,7.772891673,3.851142874,8.590074618,5.24503445,3.101637475,6.006141462,7.878904078,7.768356159,7.356522392,4.529324724,6.462018463,0,6.208819068,5.991714534,6.559818475
1994,4,1994.291667,6.847967444,7.982921979,8.371995859,5.305447511,8.944544627,6.156848296,5.021454519,7.008967194,8.134369897,7.823186055,7.794588984,5.765375719,7.445689263,0,6.667034784,6.779268084,7.008545414
1994,5,1994.375,9.303813409,10.00699253,10.98970734,7.403882438,11.79713557,7.992475914,7.445440787,9.482309778,10.98046266,10.60306766,10.19307879,8.609221615,9.17201773,0,9.455159956,9.254857954,9.767328347
1994,6,1994.458333,12.73202001,14.43313089,15.052636,11.40651965,15.8323088,12.36354201,10.2915454,12.67307237,14.71235074,13.94866555,14.07381325,11.01106275,13.49901796,0,11.83533699,11.7601243,12.63531267
1994,7,1994.541667,15.94827196,17.93777913,18.94709492,13.90610772,19.94871485,15.05809412,13.56826203,15.91727885,18.66852932,17.12735031,17.54106357,14.06035956,16.71729334,0,14.46658533,14.53969804,15.61470174
1994,8,1994.625,14.29599706,15.75054812,16.88516578,12.38804941,17.74101614,13.2236961,11.87470662,14.1213499,16.8459118,15.82549528,15.44812012,12.71183917,14.74677717,0,13.92352554,13.44464767,14.28592007
1994,9,1994.708333,11.45015096,12.32634875,13.26229466,9.891899867,13.89401619,10.45140735,9.511403802,11.31278683,13.18041229,12.78519686,12.21572387,10.37776386,11.50287204,0,11.76133829,11.3807359,11.680466
