"","GCM","RCM","Year","Region_Name","Region_ID","Heatwave_Count","Mean_Duration","Mean_Intensity","Simulator","GCM_labeled"
"51","CNRM-CERFACS-CNRM-CM5","ALADIN63",2030,"E Midlands",1,0.728971962616822,4.16666666666667,34.8804372493746,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"52","CNRM-CERFACS-CNRM-CM5","ALADIN63",2031,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"53","CNRM-CERFACS-CNRM-CM5","ALADIN63",2032,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"54","CNRM-CERFACS-CNRM-CM5","ALADIN63",2033,"E Midlands",1,0.00934579439252336,3,32.3549086252848,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"55","CNRM-CERFACS-CNRM-CM5","ALADIN63",2034,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"56","CNRM-CERFACS-CNRM-CM5","ALADIN63",2035,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"57","CNRM-CERFACS-CNRM-CM5","ALADIN63",2036,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"58","CNRM-CERFACS-CNRM-CM5","ALADIN63",2037,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"59","CNRM-CERFACS-CNRM-CM5","ALADIN63",2038,"E Midlands",1,0.0747663551401869,3,32.432245850563,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"60","CNRM-CERFACS-CNRM-CM5","ALADIN63",2039,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"61","CNRM-CERFACS-CNRM-CM5","ALADIN63",2040,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"62","CNRM-CERFACS-CNRM-CM5","ALADIN63",2041,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"63","CNRM-CERFACS-CNRM-CM5","ALADIN63",2042,"E Midlands",1,0.654205607476635,4.48571428571429,34.6217666455678,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"64","CNRM-CERFACS-CNRM-CM5","ALADIN63",2043,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"65","CNRM-CERFACS-CNRM-CM5","ALADIN63",2044,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"66","CNRM-CERFACS-CNRM-CM5","ALADIN63",2045,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"67","CNRM-CERFACS-CNRM-CM5","ALADIN63",2046,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"68","CNRM-CERFACS-CNRM-CM5","ALADIN63",2047,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"69","CNRM-CERFACS-CNRM-CM5","ALADIN63",2048,"E Midlands",1,0.420560747663551,3,34.2862799185294,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
"70","CNRM-CERFACS-CNRM-CM5","ALADIN63",2049,"E Midlands",1,0,0,0,"CNRM-CERFACS-CNRM-CM5_ALADIN63","CNRM-CERFACS-CNRM-CM5.01"
