North	East
8649.88	88863.26
8643.78	88968.56
8542.33	89026.06
8538.67	89089.23
8472.23	89106.48
8346.76	89014.73
8354.08	88888.4
8322.64	88865.4
8224.85	88859.73
8158.51	88877.06
8143.88	89129.75
8109.99	89148.89
8015.86	89080.06
7918.08	89074.39
7698.49	88913.8
7711.91	88682.12
7779.47	88643.76
7877.37	88649.43
8046.38	88553.57
8144.16	88559.24
8245.61	88501.74
8343.39	88507.41
8513.74	88390.54
NA	NA
17412.81	88907.38
17608.38	88918.74
17638.5	88962.7
17628.73	89130.88
17593.73	89171.05
17399.38	89138.63
17368.04	89115.74
17377.81	88947.55
17412.81	88907.38
NA	NA
16391.3	89037.88
16489.09	89043.56
16520.42	89066.52
16513.1	89192.67
16607.34	89261.42
16597.58	89429.63
16562.47	89469.81
16171.33	89447.13
16141.21	89403.17
16150.97	89234.94
16219.75	89175.64
16256.08	89114.46
16391.3	89037.88
NA	NA
16928.37	89364.4
17123.94	89375.75
17343.64	89536.18
17330.24	89767.44
17228.8	89824.84
17217.84	90014.03
17049.96	90088.65
16984.73	90084.88
16765.12	89924.53
16779.74	89672.26
16684.39	89624.52
16688.05	89561.45
16789.49	89504.05
16793.15	89440.98
16928.37	89364.4
NA	NA
10238.56	89103.23
10337.57	89087.8
10431.8	89156.62
10529.59	89162.29
10653.83	89275.1
10650.18	89338.24
10933.78	89523.62
10913.09	89881.43
10710.22	89996.4
10706.57	90059.55
10672.8	90078.69
10379.44	90061.74
10253.85	89970.03
10257.5	89906.89
10099.35	89813.29
9936.45	89803.88
9834.91	89861.37
9772.22	89815.48
9829.14	89396.33
9999.46	89279.46
10001.9	89237.34
10238.56	89103.23
NA	NA
16063.79	89609.62
16161.58	89615.29
16225.58	89640.14
16178.3	89890.55
16144.53	89909.67
16046.74	89904.01
16015.29	89881.11
16028.69	89649.8
16063.79	89609.62
NA	NA
17653.72	89828.32
17718.94	89832.1
17782.95	89856.94
17771.99	90046.12
17705.55	90063.33
17640.32	90059.56
17576.31	90034.78
17587.27	89845.6
17653.72	89828.32
NA	NA
13623.6	89953.75
13721.38	89959.41
13815.52	90028.17
13913.3	90033.83
13944.65	90056.72
13933.7	90246.03
13798.49	90322.68
13700.71	90317.03
13575.12	90225.3
13589.71	89972.88
13623.6	89953.75
NA	NA
16035.78	90093.31
16133.57	90098.97
16164.91	90121.86
16153.97	90311.09
16120.19	90330.21
16022.41	90324.55
15990.95	90301.66
16001.9	90112.42
16035.78	90093.31
NA	NA
16492.15	90119.72
16650.3	90213.23
16643	90339.37
16737.14	90408.09
16723.77	90639.37
16622.35	90696.79
16612.63	90865
16544.98	90903.31
16381.96	90893.9
16280.54	90951.33
16084.96	90940.05
15960.58	90827.36
15966.65	90722.21
16001.75	90682.02
16099.54	90687.67
16234.74	90611.12
16242.03	90484.97
16342.24	90448.54
16356.83	90196.25
16492.15	90119.72
NA	NA
11226.95	90110.7
11258.29	90133.68
11243.71	90386.21
11209.93	90405.35
11112.15	90399.71
11048.14	90374.92
11059.07	90185.51
11226.95	90110.7
NA	NA
